PRODUCTO ;PRECIO ;FOTO;CATEGORIA
AG. AMARILLO 750ml;70000;https://mercasur.com.co/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTc4MTYxNCwicHVyIjoiYmxvYl9pZCJ9fQ==--8b9c91a068a807d1d1dbe8feb053624f83b6c9d9/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--cef66509c9cdc75663c0eefd9421db1d2ea4fead/7702168278477?locale=es;AGUARDIENTE
AG. AMARILLO 375 ml;38000;;AGUARDIENTE
AG. MIL DEMONIOS 700ML;160000;;AGUARDIENTE
AG. MIL DEMONIOS 50ML;26000;;AGUARDIENTE
AG. ANTIOQUE�O REAL 750 ML;110000;;AGUARDIENTE
AG. ANTIOQUE�O AMARILLO REAL 750 ML;65000;;AGUARDIENTE
AG. ANTIOQ. AZUL 1000ml;87000;;AGUARDIENTE
AG. ANTIOQ. BOTELLA  AZUL 1000ml;92000;;AGUARDIENTE
AG. ANTIOQ. AZUL 750ml;70000;;AGUARDIENTE
AG. ANTIOQ. AZUL 375ml;38000;;AGUARDIENTE
AG. ANTIOQ. AZUL 260ml;27000;;AGUARDIENTE
AG. ANTIOQ. ROJO 375ml;37000;;AGUARDIENTE
AG. ANTIOQ. ROJO 1000ml;80000;;AGUARDIENTE
AG. ANTIOQ. ROJO 750ml;67000;;AGUARDIENTE
AG. ANTIOQ. VERDE 1000ml;70000;;AGUARDIENTE
AG. ANTIOQ. VERDE 750ml;60000;;AGUARDIENTE
AG. ANTIOQ. VERDE 375ml;33000;;AGUARDIENTE
AG. ANTIOQ. VERDE 260ml;17000;;AGUARDIENTE
AG. NECTAR VERDE 1000ml;68000;;AGUARDIENTE
AG. NECTAR VERDE 750ml;55000;;AGUARDIENTE
AG. NECTAR VERDE 500ml;36000;;AGUARDIENTE
AG. NECTAR VERDE 375ml;30000;;AGUARDIENTE
AG. NECTAR VERDE 250ml;18000;;AGUARDIENTE
AG. NECTAR ROJO 1000 ml;67000;;AGUARDIENTE
AG. NECTAR ROJO 375 ml;29000;;AGUARDIENTE
AG. NECTAR SUGAR FREE 750 ML ;58000;;AGUARDIENTE
AG. NECTAR DORADO 750 ML;65000;;AGUARDIENTE
AG. CRISTAL SIN OPOLIZADO AZUCAR 375 ML;26000;;AGUARDIENTE
AG. CRISTAL SIN AZUCAR 750 ML;50000;;AGUARDIENTE
AGUA CIELO 600 ML ;2000;;BEBIDA SIN ALCOHOL
AGUA H2O;3400;;BEBIDA SIN ALCOHOL
AGUA BOTELLA CRISTAL GAS ;2500;;BEBIDA SIN ALCOHOL
CIG. BELMONT x10;8000;https://assets.tuzonamarket.com/images/producto/7APDAhswAm.jpg;CIGARRILLOS
CIG. BELMONT x20;15000;https://assets.tuzonamarket.com/images/producto/7APDAhswAm.jpg;CIGARRILLOS
CIG. LUCKY DAIQUIRI x 10;9500;https://lacaretalicores.com/cdn/shop/files/Lucky-strike-daiquiri-nuevo.png?v=1713381707;CIGARRILLOS
CIG. LUCKY DAIQUIRI 20;19000;https://lacaretalicores.com/cdn/shop/files/Lucky-strike-daiquiri-nuevo.png?v=1713381707;CIGARRILLOS
CIG. LUCKY SANDIAx20;19000;https://prodcdnmobisoft.oxxodomicilios.com/01JVWC2D0MB3KQ05VVCMNDAS0A.png;CIGARRILLOS
CIG. LUCKY ALASKAx10;9500;https://lacavalicores.com.co/wp-content/uploads/2024/11/7702303953863.png;CIGARRILLOS
CIG. LUCKY SANDIAx10;9500;https://prodcdnmobisoft.oxxodomicilios.com/01JVWC2D0MB3KQ05VVCMNDAS0A.png;CIGARRILLOS
CIG. MARLBORO GOLD x10;8000;https://megatiendas.vtexassets.com/arquivos/ids/170329/7702005004474.jpg?v=638574366541070000;CIGARRILLOS
CIG. MARLBORO FUSIONx10;9000;https://exitocol.vtexassets.com/arquivos/ids/29493736/Cigllo-Cjtlla-Media-Moradoazul-MARLBORO-10-und-3238052_a.jpg?v=638895967534970000;CIGARRILLOS
CIG. MARLBORO ICEx10;9000;https://carulla.vtexassets.com/arquivos/ids/22117498/Cigllo-Cjtilla-Media-Ice-Mix-MARLBORO-10-und-3521039_a.jpg?v=638895967945430000;CIGARRILLOS
CIG. MARLBORO ROJO x 20;16000;https://megatiendas.vtexassets.com/arquivos/ids/170342/7702005002357.jpg?v=638574366572870000;CIGARRILLOS
CIG. MARLBORO ROJO x 10;8000;https://megatiendas.vtexassets.com/arquivos/ids/170342/7702005002357.jpg?v=638574366572870000;CIGARRILLOS
CIG. ROTHMANS AZULx20;16000;https://lacavalicores.com.co/wp-content/uploads/2024/11/7702303607223.png;CIGARRILLOS
CIG. ROTHMANS AZULx10;8000;https://lacavalicores.com.co/wp-content/uploads/2024/11/7702303607223.png;CIGARRILLOS
CIG. ROTHMANS BLANCO x10;6500;https://mercasur.com.co/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6Nzg1NDUsInB1ciI6ImJsb2JfaWQifX0=--85ed20149039e72e9f53fcabf8c267d6afe04c26/7702303006347?locale=es;CIGARRILLOS
CIG. PIEL ROJA X10;13000;https://lacaretalicores.com/cdn/shop/files/cigarrillo-pielroja-sf.png?v=1713381452&width=1000;CIGARRILLOS
ENERGIZANTE RED BULL 250 ml;7200;https://mercaldas.vtexassets.com/arquivos/ids/1326457-1200-auto?v=638524114639970000&width=1200&height=auto&aspect=true;ENERGIZANTE 
ENERGIZANTE SPEED LATA ;4000;https://copservir.vtexassets.com/arquivos/ids/1575407/BEBIDA-ENERGIZANTE-SPEED-MAX_F.png?v=638789375759700000;ENERGIZANTE 
GATORADE ROJO 500 ml;4500;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4ACmUZ1YZjz48Aa-XUB3z5FpYS5d2RDPGEQ&s;ENERGIZANTE 
GATORADE  BLUE 500 ml;4500;https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702192701545.jpg;ENERGIZANTE 
ELECTROLIT 625 MK ;11000;https://drogaspaguemenos.co/storage/products/1644434456-YW-electrolit-manzana-x-625-ml-large.jpg;ENERGIZANTE 
HIDRATAO SABORES 600 ML;11000;https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702049170005.jpg;ENERGIZANTE 
MONSTER ENERGY 473ML;10000;https://mre-site-makro-colombia-test-webapp-slot.azurewebsites.net/imagesProducts/medias/117254_2_260.webp;ENERGIZANTE 
MONSTER MANGO LOCO 473ML;10000;https://exitocol.vtexassets.com/arquivos/ids/28931345/Bebida-Energizante-MONSTER-473-ml-3114566_a.jpg?v=638859659077470000;ENERGIZANTE 
GINEBRA GORDONS;93000;;GINEBRA
GINEBRA TANQUERAY;215000;;GINEBRA
GINEBRA BEFFEATER PINK 750ML;220000;;GINEBRA
GINEBRA BEFFEATER ORIG 750ML;210000;;GINEBRA
GINEBRA BOMBAY 750ML;200000;;GINEBRA
GINEBRA HENDRICKS 750ML;320000;;GINEBRA
GINEBRA HENDRICKS MINI 50ML;35000;;GINEBRA
GINEBRA BULLDOG 750ML;292050;https://olimpica.vtexassets.com/arquivos/ids/1192375/897076002003.jpg?v=638816410796700000;GINEBRA
CANADA DRY GINGER 1.5L;6000;;BEBIDA SIN ALCOHOL
SODA BRETA�A 1.5L;6000;;BEBIDA SIN ALCOHOL
BRETA�A 300 ML;3000;;BEBIDA SIN ALCOHOL
COCA-COLA ORIG. 1,5 L.;7500;;BEBIDA SIN ALCOHOL
QUATRO 1.5 ML;6000;;BEBIDA SIN ALCOHOL
HIT MANGO 500 ml;3000;;BEBIDA SIN ALCOHOL
HIT TROPICAL T 500 ml;3000;;BEBIDA SIN ALCOHOL
HIT MANDARINA 500 ml;3000;;BEBIDA SIN ALCOHOL
HIT LULO 500 ml;3000;;BEBIDA SIN ALCOHOL
HIT MORA 500 ml;3000;;BEBIDA SIN ALCOHOL
HIT NARANJA PI�A 500 ml;3000;;BEBIDA SIN ALCOHOL
HIT BOTELLA  1.5 ML ;7000;;BEBIDA SIN ALCOHOL
COCA COLA 500ML;4000;;BEBIDA SIN ALCOHOL
COCA COLA MINI ;2800;;BEBIDA SIN ALCOHOL
JUGO DEL VALLE 400 ML;2500;https://exitocol.vtexassets.com/arquivos/ids/28929553/Bebida-Naranja-Citrus-DEL-VALLE-400-ml-1559369_a.jpg?v=638859479443430000;BEBIDA SIN ALCOHOL
JUGO DEL VALLE 1,5 ML;7000;;BEBIDA SIN ALCOHOL
PONY MALTA 1.5 ML;8000;;BEBIDA SIN ALCOHOL
PONY MALTA 330  ML;3500;;BEBIDA SIN ALCOHOL
PONY MALTA MINI;2000;;BEBIDA SIN ALCOHOL
POSTOBON SURT. 1.5;6000;;BEBIDA SIN ALCOHOL
QUATRO 400 ML;3000;;BEBIDA SIN ALCOHOL
BRANDY DOMECQ 750 ML;75000;;BRANDY
BRANDY DOMECQ 375 ML;45000;https://exitocol.vtexassets.com/arquivos/ids/26655625/Brandy-Media-X-375ml-24468_a.jpg?v=638739776835330000;BRANDY
BRANDY REGIDOR 750 ML;74695,5;;BRANDY
JAGERMEISTER 750 ml;145000;;ESPECIALES 
JAGERMEISTER 350ML;92000;https://newyorkstore.com.co/wp-content/uploads/JAGERMEISTER-350-ML.jpg;ESPECIALES 
JAGERMEISTER 20ML;10000;;ESPECIALES 
RON BACARDI LIMON 750 ml;62000;;RON
RON BACARDI LIMON 375 ml;40000;;RON
RON BACARDI MOJITO 750 ml;62000;;RON
RON BACARDI ZOOMBIE 750 ml;70000;;RON
RON CALDAS 1000ml;78000;;RON
RON CALDAS 750ml;72000;https://colanta.vtexassets.com/arquivos/ids/156765/3997-1.png?v=638096664072970000;RON
RON CALDAS 375ml;38000;;RON
RON CALDAS ESENCIAL 750ml;55000;;RON
RON MEDELLIN 1050ml;88000;;RON
RON MEDELL 750 ml;70000;https://olimpica.vtexassets.com/arquivos/ids/1853355/7702049100576.jpg.jpg?v=638828287278830000;RON
RON MEDELL 375 ml;38000;;RON
RON MEDELL 260 ml;24000;;RON
RON MEDELLIN 5 A�OS 750 ml;87000;;RON
RON MEDELLIN 5 A�OS 375 ml;50000;https://supermercadolaestacion.com/54210-thickbox_default/ron-medellin-5-anos-sin-azucar-botella-x-375-mililitros.jpg;RON
RON MEDELLIN 8 A�OS 750 ml;105000;;RON
RON MEDELLIN 8  A�OS 375 ml;60000;;RON
RON SANTAFE 1000 ml;85000;;RON
RON SANTAFE 750 ml;67000;;RON
RON SANTAFE 375ml;37000;;RON
RON MEDELLIN DORADO 750ML;64000;;RON
RON MEDELLIN DORADO 355ML;35000;;RON
RON HECHICERA 750 ML;310000;;RON
RON HECHICERA 50 ML;25000;;RON
SALCHICHA RONDA;6500;;SNACKS
SALCHICHA ZENU;8000;;SNACKS
LOMITOS DE ATUN LA SOBERANA;9500;;SNACKS
LOMOS DE ATUN VAN CAMP�S;12000;;SNACKS
CHOCORRAMO 65 GR;3000;;SNACKS
CHOCORAMO BARRITA 40G;2500;;SNACKS
GANSITO BARRITA 37G;2500;;SNACKS
PONQUE RAMO TRADICONAL;8500;;SNACKS
PONQUE RAMO NUEZ 230G;12000;;SNACKS
PONQUE RAMO CHOCOLATE 230G;12000;;SNACKS
PONQUE RAMO TROZOS CHOCOLATE 230G;12000;;SNACKS
PONQUE RAMO FRUTO SILVESTRES 230G;12000;;SNACKS
GALA ;2600;;SNACKS
BROWNIE AREQUIPE 70 GR;5000;;SNACKS
SUPER RICA PAPA POLLO 105 GR ;9000;;SNACKS
SUPER RICA PAPA POLLO 30 GR ;3000;;SNACKS
DETODITO BBQ 155 g;11000;https://mercasur.com.co/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjQ2NzgyNiwicHVyIjoiYmxvYl9pZCJ9fQ==--362ed5b7ca648c26b188cca56ca36f3400c19e0f/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX3RvX2ZpdCI6WzgwMCw4MDBdfSwicHVyIjoidmFyaWF0aW9uIn19--bd5a2de8e0d11957373f04c83dd708213bfe6ce6/bb1.webp?locale=es;SNACKS
DETODITO NAT. 155g;11000;;SNACKS
DORITOS 185 g;12000;;SNACKS
GALLETA CLUB SOCIAL ORIG;1500;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2VxhpPNPvd3yTZhvrOclzrjVuC2TM-SI2bA&s;SNACKS
GALLETA TOSH MIEL ;1500;;SNACKS
GALLETA FESTIVAL ;1800;;SNACKS
Galletas Oreo x4 ;1800;;SNACKS
Galletas Oreo x6;2000;;SNACKS
GALLETA MAMU DE LECHE ;800;;SNACKS
MANI ESPECIAL ARANDANOS;4000;;SNACKS
MANI ESPECIAL SAL;2500;;SNACKS
MANIMOTO NATURAL 44G ;2500;;SNACKS
MARG. POLLO 110 g;9000;;SNACKS
TODORICO BBQ. 160 g;10000;https://mundodulces17.com/wp-content/uploads/2025/02/tdt-187.webp;SNACKS
TODORICO ORIG. 160 g;10000;;SNACKS
TODORICO CRIOLLO  150 GR;10000;;SNACKS
TODORICO CRIOLLO AJI 150 GR;10000;;SNACKS
TODORICO CRIOLLO AJI PERSONAL  45 GR;3800;;SNACKS
TODORICO ORIG PERSONAL  45 GR;3800;;SNACKS
TODORICO BBQ PERSONAL  45 GR;3800;;SNACKS
TODORICO CRIOLLO PERSONAL 45 GR;3800;;SNACKS
TODORICO PICADA PERSONAL 45 GR;3800;;SNACKS
PAQUETE CHICHARRON PICOS;4000;;SNACKS
GALLETAS GLACITAS;1800;;SNACKS
GOMITAS TRULULU PAQUETE 90 GR;3500;;SNACKS
BOMBOMBUM ;1000;;SNACKS
CHEESE TRIS QUESO 80g;4500;;SNACKS
CHEESE TRIS QUESO 120g;5500;;SNACKS
GUDIZ 28g;1700;;SNACKS
CHICHARRON AERICANO JACKS 100g;15000;;SNACKS
NATUCHIPS PL. VERDE 135g;9500;;SNACKS
NATUCHIPS PL. MADURO 135g;9500;;SNACKS
DORITOS FLAMING HOT 41g;3500;;SNACKS
DORITOS 48g;3500;;SNACKS
CHOCLITOS 45g;2500;;SNACKS
CHOCLITOS LIMON 210g;9500;;SNACKS
MARG. POLLO 36g;2700;;SNACKS
DETODITO BBQ 50g;3500;;SNACKS
BOLIQUESO 34g;2200;;SNACKS
DETODITO MIX 50g;3500;;SNACKS
MARG. OND. TOMATE 35g;3000;;SNACKS
DORITOS MEGAQ. 68g;4500;;SNACKS
DORITOS MEGA QUESO 80 G;5500;;SNACKS
NATUCHIPS PL. VERDE 38g;3500;;SNACKS
BOLIQUESO 160g;8200;;SNACKS
MARG. OND. MAYONESA 35g ;3000;;SNACKS
MARG. OND. MAYONESA 105 gr;9000;;SNACKS
MARG. BBQ 36g;3000;;SNACKS
DETODITO MIX 165g ;11000;;SNACKS
DETODITO LIMON 165g;11000;;SNACKS
CHEESE TRIS QUESO 42g;2500;;SNACKS
MARG. OND. TOMATE 105g;8500;;SNACKS
MARG. LIMON 36g;3000;;SNACKS
